ID_PEDIDO,FECHA_PEDIDO ,ID_CLIENTE,METODO_DE_PAGO
1,2022-08-10,69,2
2,2022-10-31,39,3
3,2022-06-28,10,2
4,2022-02-19,160,1
5,2022-09-03,62,1
6,2022-11-26,83,2
7,2022-06-13,126,3
8,2022-02-28,135,1
9,2022-11-03,78,5
10,2022-05-19,74,2
11,2022-03-01,163,5
12,2022-12-22,141,3
13,2022-10-25,139,5
14,2022-09-02,193,2
15,2022-09-03,28,3
16,2022-08-15,178,2
17,2022-11-14,178,2
18,2022-09-30,64,4
19,2022-04-01,107,2
20,2022-04-14,138,4
21,2022-03-13,84,2
22,2022-04-26,81,3
23,2022-11-20,7,1
24,2022-03-16,153,1
25,2022-04-27,77,5
26,2022-06-10,178,2
27,2022-10-31,26,2
28,2022-08-23,109,5
29,2022-04-17,103,3
30,2022-11-06,93,1
31,2022-01-28,166,3
32,2022-03-03,54,4
33,2022-04-06,90,3
34,2022-08-27,87,5
35,2022-08-23,173,1
36,2022-09-13,127,5
37,2022-09-01,10,4
38,2022-09-29,142,2
39,2022-06-08,114,3
40,2022-02-05,141,2
41,2022-02-25,19,1
42,2022-03-21,32,3
43,2022-01-06,167,4
44,2022-11-07,3,1
45,2022-04-19,144,2
46,2022-08-11,44,3
47,2022-04-29,142,2
48,2022-01-21,44,3
49,2022-01-24,191,5
50,2022-10-13,38,4
51,2022-09-30,52,1
52,2022-01-05,200,1
53,2022-02-07,122,2
54,2022-11-20,123,2
55,2022-03-12,15,5
56,2022-07-22,24,4
57,2022-08-03,22,3
58,2022-08-01,192,3
59,2022-07-04,52,2
60,2022-12-01,144,2
61,2022-11-19,39,3
62,2022-03-20,188,5
63,2022-11-08,86,3
64,2022-01-03,113,5
65,2022-10-21,154,1
66,2022-12-23,178,2
67,2022-01-05,61,2
68,2022-09-13,50,3
69,2022-08-27,43,2
70,2022-05-18,46,3
71,2022-01-28,78,4
72,2022-05-20,3,4
73,2022-02-24,129,4
74,2022-03-11,86,2
75,2022-03-15,87,1
76,2022-08-09,63,5
77,2022-10-31,58,3
78,2022-12-14,50,1
79,2022-12-04,52,2
80,2022-02-25,193,5
81,2022-01-08,27,1
82,2022-03-17,35,4
83,2022-06-25,58,3
84,2022-12-23,70,2
85,2022-03-31,176,1
86,2022-04-24,164,3
87,2022-01-10,46,5
88,2022-07-16,118,2
89,2022-11-24,25,2
90,2022-01-02,169,1
91,2022-10-31,43,1
92,2022-04-01,177,2
93,2022-02-28,173,5
94,2022-08-29,58,3
95,2022-05-12,114,1
96,2022-09-30,102,4
97,2022-01-28,12,4
98,2022-06-11,58,3
99,2022-04-13,42,5
100,2022-03-19,187,4
101,2022-12-28,89,1
102,2022-09-04,98,5
103,2022-12-05,107,5
104,2022-11-23,47,2
105,2022-06-27,175,5
106,2022-09-19,96,4
107,2022-02-19,56,4
108,2022-01-05,156,5
109,2022-03-13,164,3
110,2022-01-04,90,1
111,2022-02-28,143,5
112,2022-11-09,52,3
113,2022-02-10,56,4
114,2022-05-30,147,2
115,2022-05-04,195,4
116,2022-05-11,120,3
117,2022-09-18,10,5
118,2022-07-17,197,4
119,2022-09-28,43,2
120,2022-04-27,120,3
121,2022-06-05,15,3
122,2022-08-22,47,2
123,2022-11-10,25,2
124,2022-02-26,107,5
125,2022-12-24,42,5
126,2022-04-04,103,3
127,2022-12-06,50,3
128,2022-04-18,63,4
129,2022-09-21,9,4
130,2022-04-17,103,3
131,2022-01-12,86,3
132,2022-01-04,78,4
133,2022-06-10,123,3
134,2022-02-24,24,2
135,2022-03-09,2,5
136,2022-12-12,164,3
137,2022-09-19,123,2
138,2022-10-31,123,2
139,2022-07-23,136,1
140,2022-09-30,90,3
141,2022-03-05,70,3
142,2022-05-13,133,1
143,2022-09-09,102,4
144,2022-05-18,71,1
145,2022-01-20,60,1
146,2022-03-25,37,5
147,2022-10-25,75,5
148,2022-08-19,52,1
149,2022-10-07,105,1
150,2022-06-18,22,3
151,2022-06-22,174,1
152,2022-07-10,186,5
153,2022-06-29,48,1
154,2022-09-27,155,1
155,2022-01-03,55,5
156,2022-03-12,72,2
157,2022-04-19,117,4
158,2022-04-23,193,2
159,2022-11-03,19,4
160,2022-09-06,164,3
161,2022-12-06,86,2
162,2022-08-21,26,2
163,2022-03-14,78,5
164,2022-11-25,15,2
165,2022-05-26,95,4
166,2022-11-09,129,5
167,2022-10-11,15,3
168,2022-10-27,85,5
169,2022-10-01,88,2
170,2022-01-21,50,3
171,2022-03-04,14,1
172,2022-06-23,90,4
173,2022-03-26,142,1
174,2022-10-31,50,3
175,2022-07-22,80,5
176,2022-10-08,178,2
177,2022-07-17,156,4
178,2022-02-26,34,1
179,2022-11-29,16,3
180,2022-10-19,59,2
181,2022-07-06,58,3
182,2022-02-09,71,4
183,2022-07-04,184,4
184,2022-12-25,141,3
185,2022-03-31,83,1
186,2022-08-26,104,5
187,2022-06-30,17,1
188,2022-12-20,67,2
189,2022-09-28,68,3
190,2022-03-21,67,4
191,2022-03-09,72,1
192,2022-04-15,84,2
193,2022-09-05,167,4
194,2022-10-30,107,2
195,2022-07-03,91,3
196,2022-12-21,9,5
197,2022-07-13,194,1
198,2022-06-09,104,5
199,2022-01-26,26,2
200,2022-04-09,45,4
201,2022-11-08,70,3
202,2022-12-02,133,4
203,2022-09-14,100,3
204,2022-10-21,84,2
205,2022-01-18,178,2
206,2022-05-27,28,3
207,2022-09-01,151,4
208,2022-07-31,165,1
209,2022-07-06,141,3
210,2022-02-04,80,1
211,2022-03-05,93,4
212,2022-12-15,80,5
213,2022-05-22,10,2
214,2022-10-19,199,5
215,2022-07-21,160,4
216,2022-05-26,100,3
217,2022-06-30,24,2
218,2022-04-07,81,1
219,2022-01-19,90,3
220,2022-07-02,56,4
221,2022-06-29,39,1
222,2022-10-09,52,3
223,2022-06-04,90,1
224,2022-04-07,61,5
225,2022-02-06,178,2
226,2022-05-07,161,4
227,2022-01-20,52,3
228,2022-08-02,42,4
229,2022-06-07,26,1
230,2022-06-10,46,2
231,2022-08-27,120,3
232,2022-04-03,116,5
233,2022-10-26,86,2
234,2022-09-25,195,4
235,2022-09-02,193,2
236,2022-04-24,164,5
237,2022-03-12,6,1
238,2022-05-30,100,1
239,2022-09-13,158,5
240,2022-01-03,180,4
241,2022-12-15,43,1
242,2022-08-04,60,4
243,2022-01-08,17,3
244,2022-01-14,58,3
245,2022-09-02,122,4
246,2022-08-01,16,3
247,2022-06-25,18,4
248,2022-06-07,17,2
249,2022-10-22,25,4
250,2022-11-25,83,2
251,2022-08-30,94,4
252,2022-12-23,157,4
253,2022-01-03,83,2
254,2022-03-23,200,2
255,2022-03-01,152,5
256,2022-01-02,92,2
257,2022-08-07,188,5
258,2022-08-25,191,1
259,2022-04-03,74,1
260,2022-04-24,77,4
261,2022-08-06,173,5
262,2022-07-04,195,4
263,2022-04-23,3,3
264,2022-01-04,166,4
265,2022-01-07,48,5
266,2022-01-16,165,5
267,2022-04-07,83,2
268,2022-12-30,40,1
269,2022-10-27,44,4
270,2022-12-17,86,3
271,2022-05-19,91,5
272,2022-10-09,18,5
273,2022-10-14,16,3
274,2022-10-23,73,3
275,2022-08-14,70,3
276,2022-04-08,98,5
277,2022-08-07,182,5
278,2022-10-08,31,5
279,2022-01-09,20,5
280,2022-09-22,70,2
281,2022-07-26,81,3
282,2022-11-06,49,5
283,2022-01-04,125,1
284,2022-07-12,180,4
285,2022-02-04,11,2
286,2022-07-27,56,4
287,2022-05-20,100,3
288,2022-08-30,164,3
289,2022-09-16,54,1
290,2022-09-06,31,1
291,2022-05-30,58,2
292,2022-01-20,47,2
293,2022-05-15,154,5
294,2022-08-08,92,2
295,2022-10-03,165,1
296,2022-11-01,134,1
297,2022-08-30,83,3
298,2022-12-13,43,2
299,2022-12-11,126,3
300,2022-06-15,61,2
301,2022-10-19,46,3
302,2022-06-30,39,3
303,2022-02-01,38,1
304,2022-03-13,11,2
305,2022-11-10,86,2
306,2022-12-18,25,2
307,2022-09-19,127,4
308,2022-03-14,141,2
309,2022-04-15,156,1
310,2022-07-21,29,5
311,2022-06-28,168,5
312,2022-09-13,83,2
313,2022-03-20,28,4
314,2022-09-02,192,3
315,2022-06-04,48,3
316,2022-02-03,70,3
317,2022-07-23,81,3
318,2022-07-26,48,2
319,2022-02-08,26,2
320,2022-11-13,12,1
321,2022-05-24,152,1
322,2022-12-26,83,1
323,2022-05-17,149,1
324,2022-12-03,46,5
325,2022-03-31,34,4
326,2022-08-05,147,2
327,2022-07-16,200,4
328,2022-10-21,172,4
329,2022-06-29,80,1
330,2022-08-23,120,3
331,2022-04-03,116,1
332,2022-06-04,1,5
333,2022-03-20,185,5
334,2022-03-09,175,1
335,2022-07-22,33,5
336,2022-08-05,117,5
337,2022-02-16,95,4
338,2022-06-17,26,2
339,2022-03-25,106,2
340,2022-07-31,199,4
341,2022-09-30,58,2
342,2022-01-11,51,5
343,2022-08-23,130,1
344,2022-02-01,86,3
345,2022-10-05,163,5
346,2022-03-12,17,4
347,2022-04-20,103,4
348,2022-04-13,58,2
349,2022-08-01,100,3
350,2022-01-30,126,5
351,2022-08-31,50,3
352,2022-03-04,60,5
353,2022-04-07,192,4
354,2022-02-07,120,5
355,2022-04-15,74,2
356,2022-05-11,187,4
357,2022-02-04,68,2
358,2022-03-06,81,3
359,2022-11-27,144,1
360,2022-07-10,186,4
361,2022-06-16,192,3
362,2022-08-22,132,5
363,2022-06-18,29,1
364,2022-08-17,126,3
365,2022-04-04,67,2
366,2022-10-21,9,4
367,2022-11-17,18,1
368,2022-01-29,110,4
369,2022-04-19,151,1
370,2022-07-05,66,3
371,2022-11-06,186,4
372,2022-10-28,4,5
373,2022-12-15,39,3
374,2022-02-20,26,4
375,2022-12-26,59,2
376,2022-04-02,126,3
377,2022-09-20,96,1
378,2022-09-19,71,1
379,2022-01-03,84,2
380,2022-10-11,3,3
381,2022-02-28,101,5
382,2022-04-02,109,4
383,2022-06-08,166,3
384,2022-11-17,17,1
385,2022-05-07,165,1
386,2022-02-21,175,4
387,2022-10-17,64,1
388,2022-01-01,85,5
389,2022-01-05,26,2
390,2022-01-08,53,1
391,2022-11-10,175,4
392,2022-07-12,45,4
393,2022-03-24,59,2
394,2022-12-25,122,1
395,2022-09-12,40,5
396,2022-03-13,96,3
397,2022-02-20,143,5
398,2022-05-12,49,4
399,2022-02-17,130,1
400,2022-12-04,15,3
401,2022-07-23,28,4
402,2022-01-22,52,2
403,2022-05-20,192,3
404,2022-03-29,11,2
405,2022-06-27,92,2
406,2022-02-13,181,2
407,2022-01-10,92,2
408,2022-01-20,119,1
409,2022-11-22,179,5
410,2022-12-24,84,5
411,2022-03-31,126,4
412,2022-03-06,7,4
413,2022-01-10,127,5
414,2022-07-03,24,2
415,2022-01-02,60,1
416,2022-07-12,52,5
417,2022-08-09,24,2
418,2022-08-31,72,2
419,2022-01-09,28,3
420,2022-08-03,68,1
421,2022-01-06,54,1
422,2022-01-20,118,3
423,2022-09-17,84,2
424,2022-02-18,183,5
425,2022-04-27,103,3
426,2022-02-04,52,2
427,2022-01-18,70,3
428,2022-03-22,17,2
429,2022-08-07,144,2
430,2022-05-08,147,2
431,2022-05-26,61,5
432,2022-03-10,72,5
433,2022-05-13,15,3
434,2022-11-08,123,1
435,2022-05-14,80,4
436,2022-12-05,83,5
437,2022-07-14,76,5
438,2022-04-08,3,3
439,2022-11-21,2,3
440,2022-09-22,39,1
441,2022-04-15,200,1
442,2022-11-30,77,5
443,2022-10-20,103,3
444,2022-12-22,175,4
445,2022-03-19,130,4
446,2022-03-29,2,1
447,2022-03-30,164,1
448,2022-06-15,79,3
449,2022-11-14,122,2
450,2022-07-17,89,5
451,2022-07-06,69,1
452,2022-02-19,126,3
453,2022-06-17,67,2
454,2022-09-30,17,5
455,2022-03-21,50,3
456,2022-08-28,114,3
457,2022-06-23,25,1
458,2022-03-14,168,3
459,2022-02-07,100,4
460,2022-12-17,90,1
461,2022-01-18,116,5
462,2022-05-13,15,3
463,2022-02-21,20,5
464,2022-04-10,144,2
465,2022-09-10,5,5
466,2022-05-24,66,3
467,2022-10-07,121,1
468,2022-08-09,75,4
469,2022-09-27,68,5
470,2022-10-16,177,4
471,2022-10-20,26,2
472,2022-11-02,53,1
473,2022-05-14,200,2
474,2022-09-22,48,3
475,2022-05-10,40,5
476,2022-05-11,53,1
477,2022-01-11,111,5
478,2022-05-01,153,4
479,2022-09-27,33,1
480,2022-03-04,70,3
481,2022-03-25,58,3
482,2022-06-09,14,4
483,2022-02-13,36,1
484,2022-12-28,44,4
485,2022-03-17,40,5
486,2022-09-22,25,2
487,2022-09-20,70,2
488,2022-02-15,146,5
489,2022-01-31,76,2
490,2022-11-28,188,1
491,2022-12-11,68,3
492,2022-02-07,131,4
493,2022-10-17,134,5
494,2022-06-19,66,3
495,2022-05-17,177,2
496,2022-04-11,175,5
497,2022-12-03,126,5
498,2022-04-29,118,3
499,2022-05-25,100,3
500,2022-09-10,86,3
